x,y
691772.3,3838911.1
691796.9,3838914.5
691821.6,3838917.9
691846.2,3838921.4
691870.9,3838924.8
691895.6,3838928.3
691920.2,3838931.7
691944.9,3838935.1
691969.5,3838938.6
691994.2,3838942.0
692018.9,3838945.4
692043.5,3838948.9
692068.2,3838952.3
692092.8,3838955.7
692117.5,3838959.2
692142.2,3838962.6
692166.8,3838966.0
692191.5,3838969.5
692216.1,3838972.9
692240.8,3838976.3
692265.5,3838979.8
692290.1,3838983.2
692314.8,3838986.6
692339.4,3838990.1
692364.1,3838993.5
692388.8,3838996.9
692413.4,3839000.4
692438.1,3839003.8
692462.7,3839007.2
692487.4,3839010.7
692512.1,3839014.1
692536.7,3839017.5
692561.4,3839021.0
692586.0,3839024.4
692610.7,3839027.8
692635.4,3839031.3
692660.0,3839034.7
692684.7,3839038.1
692709.3,3839041.6
692734.0,3839045.0
692758.9,3839048.6
692783.7,3839052.2
692808.6,3839055.8
692833.5,3839059.4
692858.3,3839063.0
692883.2,3839066.6
692908.1,3839070.2
692932.9,3839073.8
692957.8,3839077.4
692982.6,3839081.1
693007.5,3839084.7
693032.4,3839088.3
693057.2,3839091.9
693082.1,3839095.5
693107.0,3839099.1
693131.8,3839102.7
693156.7,3839106.3
693181.6,3839109.9
693206.4,3839113.5
693231.3,3839117.1
693256.2,3839120.7
693281.0,3839124.3
693305.9,3839127.9
693330.7,3839131.5
693355.6,3839135.1
693380.5,3839138.7
693405.3,3839142.3
693430.2,3839145.9
693455.1,3839149.5
693479.9,3839153.2
693504.8,3839156.8
693529.7,3839160.4
693554.5,3839164.0
693579.4,3839167.6
693604.3,3839171.2
693629.1,3839174.8
693654.0,3839178.4
693678.8,3839182.0
693703.7,3839185.6
693728.6,3839189.2
693753.4,3839192.8
693778.3,3839196.4
693803.2,3839200.0
693828.0,3839203.6
693852.9,3839207.2
693877.8,3839210.8
693902.6,3839214.4
693927.5,3839218.0
693952.4,3839221.6
693977.2,3839225.3
694002.1,3839228.9
694026.9,3839232.5
694051.8,3839236.1
694076.7,3839239.7
694101.5,3839243.3
694126.4,3839246.9
694151.3,3839250.5
694176.1,3839254.1
694201.0,3839257.7
694225.9,3839261.3
694250.7,3839264.9
694275.6,3839268.5
694300.4,3839272.1
694325.3,3839275.7
694350.2,3839279.3
694375.0,3839282.9
694399.9,3839286.5
694424.8,3839290.1
694449.6,3839293.7
694474.5,3839297.4
694499.4,3839301.0
694524.2,3839304.6
694549.1,3839308.2
694574.0,3839311.8
694598.8,3839315.4
694623.7,3839319.0
694648.5,3839322.6
694673.4,3839326.2
694698.3,3839329.8
694723.1,3839333.4
694748.0,3839337.0
694772.8,3839340.6
694797.5,3839344.2
694822.3,3839347.8
694847.1,3839351.4
694871.8,3839355.0
694896.6,3839358.6
694921.3,3839362.2
694946.1,3839365.8
694970.9,3839369.4
694995.6,3839373.0
695020.4,3839376.6
695045.1,3839380.1
695069.9,3839383.7
695094.7,3839387.3
695119.4,3839390.9
695144.2,3839394.5
695169.0,3839398.1
695193.7,3839401.7
695218.5,3839405.3
695243.2,3839408.9
695268.0,3839412.5
695292.8,3839416.1
695317.5,3839419.7
695342.3,3839423.3
695367.1,3839426.9
695391.8,3839430.5
695416.6,3839434.1
695441.3,3839437.7
695466.1,3839441.3
695490.9,3839444.9
695515.6,3839448.5
695540.4,3839452.1
695565.1,3839455.6
695589.9,3839459.2
695614.7,3839462.8
695639.4,3839466.4
695664.2,3839470.0
695689.0,3839473.6
695713.7,3839477.2
695738.5,3839480.8
695763.2,3839484.4
695788.0,3839488.0
695812.8,3839491.6
695837.5,3839495.2
695862.3,3839498.8
695887.1,3839502.4
695911.8,3839506.0
695936.6,3839509.6
695961.3,3839513.2
695986.1,3839516.8
696010.9,3839520.4
696035.6,3839524.0
696060.4,3839527.6
696085.1,3839531.1
696109.9,3839534.7
696134.7,3839538.3
696159.4,3839541.9
696184.2,3839545.5
696209.0,3839549.1
696233.7,3839552.7
696258.5,3839556.3
696283.2,3839559.9
696308.0,3839563.5
696332.8,3839567.1
696357.5,3839570.7
696382.3,3839574.3
696407.1,3839577.9
696431.8,3839581.5
696456.6,3839585.1
696481.3,3839588.7
696506.1,3839592.3
696530.9,3839595.9
696555.6,3839599.5
696580.4,3839603.1
696605.1,3839606.6
696629.9,3839610.2
696654.7,3839613.8
696679.4,3839617.4
696704.2,3839621.0
696729.0,3839624.6
696753.7,3839628.2
696778.5,3839631.8
696803.2,3839635.4
696828.0,3839639.0
696852.4,3839644.5
696876.7,3839650.0
696901.1,3839655.5
696925.4,3839661.0
696949.8,3839666.5
696974.1,3839672.0
696998.5,3839677.4
697022.9,3839682.9
697047.2,3839688.4
697071.6,3839693.9
697095.9,3839699.4
697120.3,3839704.9
697144.6,3839710.4
697169.0,3839715.9
697193.3,3839721.4
697217.7,3839726.9
697242.1,3839732.4
697266.4,3839737.9
697290.8,3839743.3
697315.1,3839748.8
697339.5,3839754.3
697363.8,3839759.8
697388.2,3839765.3
697412.5,3839770.8
697436.9,3839776.3
697461.3,3839781.8
697485.6,3839787.3
697510.0,3839792.8
697534.3,3839798.3
697558.7,3839803.8
697583.0,3839809.2
697607.4,3839814.7
697631.8,3839820.2
697656.1,3839825.7
697680.5,3839831.2
697704.8,3839836.7
697729.2,3839842.2
697753.5,3839847.7
697777.9,3839853.2
697802.2,3839858.7
697826.6,3839864.2
697851.0,3839869.6
697875.3,3839875.1
697899.7,3839880.6
697924.0,3839886.1
697948.4,3839891.6
697972.7,3839897.1
697997.1,3839902.6
698021.4,3839908.1
698045.8,3839913.6
698070.2,3839919.1
698094.5,3839924.6
